M = multiplicity (number of factorizations)
F = number of factors
N = number
P = product

M F N            P
- - ----------   -------------- 
1 2 1078462395 = 267*4039185
1 2 1078495236 = 189*5706324
2 2 1078495236 = 5607*192348
1 2 1078529436 = 159*6783204
1 4 1078543296 = 3*72*89*56104
1 2 1078593642 = 123*8769054
1 2 1078596324 = 20763*51948
1 3 1078632945 = 5*6201*34789
1 3 1078639254 = 81*539*24706
1 3 1078645329 = 3*69*5210847
1 2 1078923645 = 45*23976081
1 2 1078924536 = 72*14985063
1 2 1078935246 = 7653*140982
1 3 1078942536 = 8*63*2140759
1 3 1078954632 = 9*56*2140783
1 3 1078965432 = 9*7804*15362
1 4 1079248536 = 9*34*578*6102
2 3 1079248536 = 204*918*5763
1 2 1079326584 = 201*5369784
1 2 1079436852 = 17394*62058
1 4 1079458632 = 69*84*371*502
1 3 1079486352 = 6*9723*18504
1 3 1079523684 = 2*8973*60154
1 4 1079524368 = 6*8*247*91053
2 4 1079524368 = 9*302*456*871
1 4 1079546832 = 3*52*98*70614
1 4 1079583246 = 9*23*854*6107
2 2 1079583246 = 4137*260958
1 2 1079638245 = 87*12409635
1 2 1079642358 = 14382*75069
1 4 1079645238 = 3*7*842*61059
1 3 1079652483 = 21*639*80457
1 3 1079835246 = 54*329*60781
1 2 1079835264 = 8256*130794
1 2 1079856324 = 213*5069748
